student_id,faculty,cathedra,scienceStars,sportStars,creationStars,volunteerStars
58339481,Факультет прикладной биотехнологии и инженерии,Кафедра пищевой биотехнологии,127,130,125,126
23378054,Аэрокосмический институт,Кафедра управления и информатики в технических системах,129,126,125,126
65814213,Институт социальных и гуманитарных наук,Кафедра истории,128,126,125,127
86671588,Химико-биологический факультет,Кафедра биохимии и микробиологии,126,126,126,125
1412303,Институт математики и информационных технологий,Кафедра информатики,127,130,123,123
55410907,Факультет прикладной биотехнологии и инженерии,Кафедра биотехнологии животного сырья и аквакультуры,124,129,124,126
38417935,Химико-биологический факультет,Кафедра химии,127,128,124,124
16078054,Архитектурно-строительный факультет,Кафедра технологии строительного производства,123,125,129,123
32850210,Институт математики и информационных технологий,Кафедра статистики и эконометрики,119,124,127,130
80494294,Аэрокосмический институт,Кафедра систем автоматизации производства,123,123,124,127
20282154,Факультет подготовки иностранных граждан,Кафедра русского языка и общеобразовательных дисциплин,124,125,124,124
18014825,Институт языков и культур,Кафедра дизайна,121,126,127,123
88352550,Факультет прикладной биотехнологии и инженерии,Кафедра пищевой биотехнологии,121,127,125,124
98365159,Институт менеджмента экономики и предпринимательства,"Кафедра экономической теории, региональной и отраслевой экономики",126,123,124,124
4584148,Факультет прикладной биотехнологии и инженерии,Кафедра пищевой биотехнологии,116,125,128,128
38988132,Факультет подготовки иностранных граждан,Кафедра русского языка и общеобразовательных дисциплин,124,125,123,125
79012457,Факультет подготовки иностранных граждан,Кафедра русского языка и общеобразовательных дисциплин,124,123,123,126
83450286,Транспортный факультет,Кафедра технической эксплуатации и ремонта автомобилей,121,125,125,125
90424173,Аэрокосмический институт,"Кафедра механики материалов, конструкций и машин",119,127,123,127
16769250,Институт языков и культур,Кафедра теории и практики перевода,119,129,124,124
73104799,Факультет подготовки иностранных граждан,Кафедра русского языка и общеобразовательных дисциплин,117,126,125,128
8152879,Институт математики и информационных технологий,Кафедра статистики и эконометрики,115,127,125,129
59248602,Институт менеджмента экономики и предпринимательства,Кафедра таможенного дела,115,125,129,127
92850464,Химико-биологический факультет,Кафедра биохимии и микробиологии,118,127,128,123
55715535,Институт языков и культур,Кафедра романской филологии и методики преподавания французского языка,120,123,126,127
63599138,Архитектурно-строительный факультет,"Кафедра теплогазоснабжения, вентиляции и гидромеханики",118,129,123,126
61136056,Институт языков и культур,Кафедра дизайна,122,122,128,124
34768257,Институт наук о Земле,Кафедра экологии и природопользования,125,124,123,124
62832945,Аэрокосмический институт,Кафедра материаловедения и технологии материалов,121,123,125,127
4158360,Транспортный факультет,"Кафедра метрологии, стандартизации и сертификации",126,123,124,123
78484956,Институт математики и информационных технологий,Кафедра прикладной информатики в экономике и управлении,117,125,127,127
52484931,Факультет прикладной биотехнологии и инженерии,Кафедра технологии пищевых производств,125,122,125,124
1878903,Институт менеджмента экономики и предпринимательства,Кафедра банковского дела и страхования,120,127,125,124
36802053,Институт языков и культур,Кафедра иностранных языков,120,124,126,126
12638399,Химико-биологический факультет,Кафедра биологии и почвоведения,116,126,126,128
77536263,Факультет прикладной биотехнологии и инженерии,Кафедра физического воспитания,119,122,129,126
84901274,Факультет прикладной биотехнологии и инженерии,Кафедра технологии пищевых производств,115,125,128,128
49921759,Архитектурно-строительный факультет,"Кафедра теплогазоснабжения, вентиляции и гидромеханики",119,127,126,124
19579896,Институт социальных и гуманитарных наук,Кафедра истории,123,122,126,125
37037320,Транспортный факультет,"Кафедра метрологии, стандартизации и сертификации",124,123,124,125
65000115,Факультет прикладной биотехнологии и инженерии,Кафедра машин и аппаратов химических и пищевых производств,121,125,124,126
18523663,Физический факультет,Кафедра биофизики и физики конденсированного состояния,118,127,127,124
20168954,Институт энергетики электроники и связи,Кафедра промышленной электроники и информационно-измерительной техники,124,126,124,122
